Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),India VIX ,STT rate,Avg Share price,Trading Volume
18-Mar-24,21990.1,22123.7,21916.55,22055.7,356321519,23015.51,14.1125,0.0625,22020.125,1.045203422
19-Mar-24,21946.45,21978.3,21793.1,21817.45,344157465,30291.6,13.4725,0.0625,21885.7,1.384081843
20-Mar-24,21843.9,21930.9,21710.2,21839.1,312414696,28939.85,12.5125,0.0625,21820.55,1.326265837
21-Mar-24,21989.9,22080.95,21941.3,22011.95,353172434,31258.4,12.22,0.0625,22011.125,1.420118236
22-Mar-24,21932.2,22180.7,21883.3,22096.75,388656439,39023.19,12.82,0.0625,22032,1.771205065
26-Mar-24,21947.9,22073.2,21947.55,22004.7,328403719,33382.08,12.7025,0.0625,22010.375,1.516652033
27-Mar-24,22053.95,22193.6,22052.85,22123.65,409136866,38830.73,12.8325,0.0625,22123.225,1.755202056
28-Mar-24,22163.6,22516,22163.6,22326.9,407422815,45656.57,12.0825,0.0625,22339.8,2.043732263
01-Apr-24,22455,22529.95,22427.75,22462,243637071,21420.69,11.6525,0.0625,22478.85,0.952926417
02-Apr-24,22458.8,22497.6,22388.15,22453.3,289524237,27940.93,11.3725,0.0625,22442.875,1.244979977
03-Apr-24,22385.7,22521.1,22346.5,22434.65,309647491,30793.28,11.22,0.0625,22433.8,1.372628801
04-Apr-24,22592.1,22619,22303.8,22514.65,400986156,40705.56,11.3375,0.0625,22461.4,1.812245007
05-Apr-24,22486.4,22537.6,22427.6,22513.7,242244731,24797.82,11.61,0.0625,22482.6,1.102978303
08-Apr-24,22578.35,22697.3,22550.35,22666.3,227633561,22480.2,11.355,0.0625,22623.825,0.993651604
09-Apr-24,22765.1,22768.4,22612.25,22642.75,232356772,21651.69,11.1075,0.0625,22690.325,0.954225645
10-Apr-24,22720.25,22775.7,22673.7,22753.8,276847931,25355.05,11.5325,0.0625,22724.7,1.115748503
12-Apr-24,22677.4,22726.45,22503.75,22519.4,357187778,36456.91,12.4675,0.0625,22615.1,1.612060526
15-Apr-24,22339.05,22427.45,22259.55,22272.5,355465814,29474.59,12.615,0.0625,22343.5,1.319157249
16-Apr-24,22125.3,22213.75,22079.45,22147.9,317267066,28661.04,13.04,0.0625,22146.6,1.294150795
18-Apr-24,22212.35,22326.5,21961.7,21995.85,456906707,43314.67,13.4575,0.0625,22144.1,1.956036597
19-Apr-24,21861.5,22179.55,21777.65,22147,362530569,36073.63,12.7,0.0625,21978.6,1.641306999
22-Apr-24,22336.9,22375.65,22198.15,22336.4,279259571,26841.2,10.195,0.0625,22286.9,1.204348743
23-Apr-24,22447.05,22447.55,22349.45,22368,231520813,25651.64,10.275,0.0625,22398.5,1.14523919
24-Apr-24,22421.55,22476.45,22384,22402.4,235898642,21925.6,10.73,0.0625,22430.225,0.977502455
25-Apr-24,22316.9,22625.95,22305.25,22570.35,475044740,53803.8,10.925,0.0625,22465.6,2.3949416
26-Apr-24,22620.4,22620.4,22385.55,22419.95,329887340,36984.89,12.235,0.0625,22502.975,1.643555574
29-Apr-24,22475.55,22655.8,22441.9,22643.4,291957361,32431.45,12.87,0.0625,22548.85,1.438275123
30-Apr-24,22679.65,22783.35,22568.4,22604.85,361859375,38741.7,13.445,0.0625,22675.875,1.70849857
02-May-24,22567.85,22710.5,22567.85,22648.2,445909456,43133.31,14.6175,0.0625,22639.175,1.905250964
03-May-24,22766.35,22794.7,22348.05,22475.85,438060727,44432.55,16.6,0.0625,22571.375,1.968535368
06-May-24,22561.6,22588.8,22409.45,22442.7,320255789,33417.53,17.0075,0.0625,22499.125,1.485281316
07-May-24,22489.75,22499.05,22232.05,22302.5,297815469,31512.26,17.08,0.0625,22365.55,1.408964233
08-May-24,22231.2,22368.65,22185.2,22302.5,277438692,29717.33,18.2,0.0625,22276.925,1.333996052
09-May-24,22224.8,22307.75,21932.4,21957.5,331327454,37870.88,18.4725,0.0625,22120.075,1.712059295
10-May-24,21990.95,22131.3,21950.3,22055.2,265804411,28717.71,20.6,0.0625,22040.8,1.302934104
13-May-24,22027.95,22131.65,21821.05,22104.05,278186886,29036.08,20.195,0.0625,21976.35,1.321242153
14-May-24,22112.9,22270.05,22081.25,22217.85,230238941,23741.66,20.2725,0.0625,22175.65,1.070618449
15-May-24,22255.6,22297.55,22151.75,22200.55,231935478,23815.79,19.995,0.0625,22224.65,1.071593478
16-May-24,22319.2,22432.25,22054.55,22403.85,368945092,38836.11,19.7975,0.0625,22243.4,1.745961049
17-May-24,22415.25,22502.15,22345.65,22466.1,242654570,27388.67,20.525,0.0625,22423.9,1.221405286
18-May-24,22512.85,22520.25,22470.05,22502,19064566,1572.77,21.81,0.0625,22495.15,0.06991596
21-May-24,22404.55,22591.1,22404.55,22529.05,347591587,30782.35,21.4675,0.0625,22497.825,1.368236707
22-May-24,22576.6,22629.5,22483.15,22597.8,290345590,28556.14,21.38,0.0625,22556.325,1.265992576
23-May-24,22614.1,22993.6,22577.45,22967.65,369767547,39157.65,21.71,0.0625,22785.525,1.718531831
24-May-24,22930.75,23026.4,22908,22957.1,261927120,27966.99,23.1925,0.0625,22967.2,1.217692623
27-May-24,23038.95,23110.8,22871.2,22932.45,260006078,27204.54,24.195,0.0625,22991,1.183269105
28-May-24,22977.15,22998.55,22858.5,22888.15,217890750,23054.65,24.175,0.0625,22928.525,1.00550079
29-May-24,22762.75,22825.5,22685.45,22704.7,269932784,27549.09,24.175,0.0625,22755.475,1.210657655
30-May-24,22617.45,22705.75,22417,22488.65,373374457,32991.46,24.6025,0.0625,22561.375,1.462298286
31-May-24,22568.1,22653.75,22465.1,22530.7,572122639,67040.32,20.9375,0.0625,22559.425,2.971721132
03-Jun-24,23337.9,23338.7,23062.3,23263.9,569425569,56418.25,26.7475,0.0625,23200.5,2.431768712
04-Jun-24,23179.5,23179.5,21281.45,21884.5,1006105058,93786.44,18.885,0.0625,22230.475,4.218823035
05-Jun-24,22128.35,22670.4,21791.95,22620.35,638487077,64326.85,16.8,0.0625,22231.175,2.893542514
06-Jun-24,22798.6,22910.15,22642.6,22821.4,480413289,49047.39,16.8825,0.0625,22776.375,2.153432669
07-Jun-24,22821.85,23320.2,22789.05,23290.15,473554898,47621.54,16.3975,0.0625,23054.625,2.065595949
10-Jun-24,23319.15,23411.9,23227.15,23259.2,304392368,29060.4,14.765,0.0625,23319.525,1.246183188
11-Jun-24,23283.75,23389.45,23206.65,23264.85,305185666,29190.91,14.3875,0.0625,23298.05,1.252933615
12-Jun-24,23344.45,23441.95,23295.95,23322.95,295630910,31795.48,13.4875,0.0625,23368.95,1.36058659
13-Jun-24,23480.95,23481.05,23353.9,23398.9,268279841,30151.67,12.8225,0.0625,23417.475,1.287571354
14-Jun-24,23464.95,23490.4,23334.25,23465.6,223086741,25746.34,12.965,0.0625,23412.325,1.099691722
18-Jun-24,23570.8,23579.05,23499.7,23557.9,272207297,29389.75,13.7125,0.0625,23539.375,1.248535698
19-Jun-24,23629.85,23664,23412.9,23516,328811255,39430.39,13.345,0.0625,23538.45,1.675148109
20-Jun-24,23586.15,23624,23442.6,23567,280336970,33390.07,13.18,0.0625,23533.3,1.418843511
21-Jun-24,23661.15,23667.1,23398.2,23501.1,609877803,70062.97,14.0575,0.0625,23532.65,2.977266479
24-Jun-24,23382.3,23558.1,23350,23537.85,239358460,24862.37,14.3125,0.0625,23454.05,1.06004592
25-Jun-24,23577.1,23754.15,23562.05,23721.3,298111025,34263.36,14.045,0.0625,23658.1,1.448271839
26-Jun-24,23723.1,23889.9,23670.45,23868.8,287824687,33979.62,14.1525,0.0625,23780.175,1.42890538
27-Jun-24,23881.55,24087.45,23805.4,24044.5,515227010,61216.71,13.8025,0.0625,23946.425,2.556402887
28-Jun-24,24085.9,24174,23985.8,24010.6,354779832,41242.87,13.83,0.0625,24079.9,1.712750884
01-Jul-24,23992.95,24164,23992.7,24141.95,242468081,28204.06,13.64,0.0625,24078.35,1.171345213
02-Jul-24,24228.75,24236.35,24056.4,24123.85,309629240,34838.65,13.205,0.0625,24146.375,1.442810774
03-Jul-24,24291.75,24309.15,24207.1,24286.5,289201551,36661.17,12.855,0.0625,24258.125,1.511294463
04-Jul-24,24369.95,24401,24281,24302.15,251189844,28466.6,12.695,0.0625,24341,1.169491804
05-Jul-24,24213.35,24363,24168.85,24323.85,298381204,32052.48,13.6,0.0625,24265.925,1.320884326
08-Jul-24,24329.45,24344.6,24240.55,24320.55,266299131,26356.03,14.28,0.0625,24292.575,1.084941798
09-Jul-24,24351,24443.6,24331.9,24433.2,250537091,29361.08,14.4325,0.0625,24387.75,1.203927382
10-Jul-24,24459.85,24461.05,24141.8,24324.45,292263786,35358.54,13.995,0.0625,24301.425,1.454998627
11-Jul-24,24396.55,24402.65,24193.75,24315.95,306404194,32115.44,13.725,0.0625,24298.2,1.321720951
12-Jul-24,24387.95,24592.2,24331.15,24502.15,325823474,39565.33,14.1875,0.0625,24461.675,1.617441569
15-Jul-24,24587.6,24635.05,24522.75,24586.7,305395934,31593.04,14.2225,0.0625,24578.9,1.285372413
16-Jul-24,24615.9,24661.25,24587.65,24613,283212233,28668.71,14.51,0.0625,24624.45,1.164237577
18-Jul-24,24543.8,24837.75,24504.45,24800.85,350924425,40477.17,14.825,0.0625,24671.1,1.640671474
19-Jul-24,24853.8,24854.8,24508.15,24530.9,,,14.825,0.0625,24681.475,0
22-Jul-24,24445.75,24595.2,24362.3,24509.25,324190553,32496.23,15.4375,0.0625,24478.75,1.327528162
23-Jul-24,24568.9,24582.55,24074.2,24479.05,436408768,44921.42,12.7475,0.0625,24328.375,1.846462002
24-Jul-24,24444.95,24504.25,24307.25,24413.5,366616574,39538.11,11.7625,0.0625,24405.75,1.620032574
25-Jul-24,24230.95,24426.15,24210.8,24406.1,391821970,37853.62,12.6175,0.0625,24318.475,1.556578692
26-Jul-24,24423.35,24861.15,24410.9,24834.85,383826136,42118.36,12.2475,0.0625,24636.025,1.709624828
29-Jul-24,24943.3,24999.75,24774.6,24836.1,354966070,37102.92,12.945,0.0625,24887.175,1.490844983
30-Jul-24,24839.4,24971.75,24798.65,24857.3,384989431,37576.58,12.88,0.0625,24885.2,1.509997107
31-Jul-24,24886.7,24984.6,24856.5,24951.15,333646302,35411.32,13.25,0.0625,24920.55,1.420968638
01-Aug-24,25030.95,25078.3,24956.4,25010.9,431313292,38822.9,12.93,0.0625,25017.35,1.551839024
02-Aug-24,24789,24851.9,24686.85,24717.7,345027881,35368.54,14.32,0.0625,24769.375,1.427914108
05-Aug-24,24302.85,24350.05,23893.7,24055.6,486994718,45066.65,20.3675,0.0625,24121.875,1.868289675
06-Aug-24,24189.85,24382.6,23960.4,23992.55,312339387,31553.65,18.7425,0.0625,24171.5,1.305407194
07-Aug-24,24289.4,24337.7,24184.9,24297.5,317564429,29738.85,16.17,0.0625,24261.3,1.225773145
08-Aug-24,24248.55,24340.5,24079.7,24117,311875940,30858.18,16.6025,0.0625,24210.1,1.274599444
09-Aug-24,24386.85,24419.75,24311.2,24367.5,215129992,22339.19,15.335,0.0625,24365.475,0.916837862
12-Aug-24,24320.05,24472.8,24212.1,24347,279925100,30311.85,15.8675,0.0625,24342.45,1.245225932
13-Aug-24,24342.35,24359.95,24116.5,24139,239727640,25459.58,16.1675,0.0625,24238.225,1.050389622
14-Aug-24,24184.4,24196.5,24099.7,24143.75,303254705,27834.61,15.435,0.0625,24148.1,1.152662528
16-Aug-24,24334.85,24563.9,24204.5,24541.15,271611087,28521.9,14.4025,0.0625,24384.2,1.169687749
19-Aug-24,24636.35,24638.8,24522.95,24572.65,243645503,22124.41,14.315,0.0625,24580.875,0.900066007
20-Aug-24,24648.9,24734.3,24607.2,24698.85,238318940,25478.73,13.82,0.0625,24670.75,1.032750524
21-Aug-24,24680.55,24787.95,24654.5,24770.2,257114212,27404.63,13.3325,0.0625,24721.225,1.108546603
22-Aug-24,24863.4,24867.35,24784.45,24811.5,220345125,24227.03,13,0.0625,24825.9,0.975877209
23-Aug-24,24845.4,24858.4,24771.65,24823.15,206800655,23134.22,13.5525,0.0625,24815.025,0.932266641
26-Aug-24,24906.1,25043.8,24874.7,25010.6,210266456,22166.86,13.795,0.0625,24959.25,0.888122039
27-Aug-24,25024.8,25073.1,24973.65,25017.75,223346636,26695,13.6325,0.0625,25023.375,1.06680254
28-Aug-24,25030.8,25129.6,24964.65,25052.35,220419448,26994.19,13.95,0.0625,25047.125,1.077736068
29-Aug-24,25035.3,25192.9,24998.5,25151.95,353993900,43221.73,13.7875,0.0625,25095.7,1.722276326
30-Aug-24,25249.7,25268.35,25199.4,25235.9,638166179,89554.91,13.3925,0.0625,25233.875,3.548995547
02-Sep-24,25333.6,25333.65,25235.5,25278.7,222815249,28187.71,14.06,0.0625,25284.575,1.114818422
03-Sep-24,25313.4,25321.7,25235.8,25279.85,212131921,27276.14,13.8425,0.0625,25278.75,1.079014587
04-Sep-24,25089.95,25216,25083.8,25198.7,253788501,26293.35,14.3775,0.0625,25149.9,1.04546539
05-Sep-24,25250.5,25275.45,25127.75,25145.1,222242223,26272.38,14.2075,0.0625,25201.6,1.042488572
06-Sep-24,25093.7,25168.75,24801.3,24852.15,311671856,33001.17,15.2175,0.0625,24985.025,1.320837982
09-Sep-24,24823.4,24957.5,24753.15,24936.4,254367252,25180.28,14.2375,0.0625,24855.325,1.013073858
10-Sep-24,24999.4,25130.5,24896.8,25041.1,251274802,27846.31,13.36,0.0625,25013.65,1.113244568
11-Sep-24,25034,25113.7,24885.15,24918.45,279229206,29395.73,13.6275,0.0625,24999.425,1.175856245
12-Sep-24,25059.65,25433.35,24941.45,25388.9,380069653,41747.91,13.1825,0.0625,25187.4,1.657491841
13-Sep-24,25430.45,25430.5,25292.45,25356.5,250781898,25530.69,12.55,0.0625,25361.475,1.006672128
16-Sep-24,25406.65,25445.7,25336.2,25383.75,168694880,18705.01,12.46,0.0625,25390.95,0.736680195
17-Sep-24,25416.9,25441.65,25352.25,25418.55,215956868,25280.83,12.59,0.0625,25396.95,0.995427797
18-Sep-24,25402.4,25482.2,25285.55,25377.55,215727159,28832,13.3725,0.0625,25383.875,1.135839189
19-Sep-24,25487.05,25611.95,25376.05,25415.8,314461263,34389.27,12.47,0.0625,25494,1.348916216
20-Sep-24,25525.95,25849.25,25426.6,25790.95,533067422,68915.27,12.79,0.0625,25637.925,2.688020579
23-Sep-24,25872.55,25956,25847.35,25939.05,209187756,24825.74,13.785,0.0625,25901.675,0.958460795
