,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
189,2 BHK House for Rent in Thevara Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Thevara,1.0,2.0
190,3 BHK Builder Floor for Rent in Kaloor Kochi,17000.0,Semi-Furnished,2.0,Bachelors/Family,,Builder Floor,3,Kaloor,1.0,4.0
191,2 BHK House for Rent in Chalikkavattom Kochi,9000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Chalikkavattom,0.0,1.0
192,2 BHK House for Rent in Thoppumpady Kochi,17000.0,Furnished,2.0,Family,1000.0,House,2,Thoppumpady,,
193,2 BHK House for Rent in Kangarappady Kochi,7250.0,Unfurnished,1.0,Bachelors,802.0,House,2,Kangarappady,0.0,2.0
194,"3 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi",39600.0,Unfurnished,3.0,Bachelors,,Apartment,3,Kakkanad,8.0,15.0
195,2 BHK House for Rent in Kaloor Kochi,17500.0,Unfurnished,2.0,Family,,House,2,Kaloor,,
196,"3 BHK Apartment for Rent in Mather Apartment, Kakkanad Kochi",37000.0,Furnished,4.0,Bachelors,2050.0,Apartment,3,Kakkanad,14.0,23.0
197,"2 BHK Apartment for Rent in Tulsi Nest, Edappally Kochi",28000.0,Furnished,2.0,Bachelors,900.0,Apartment,2,Edappally,3.0,10.0
198,3 BHK Apartment for Rent in SRM Road Kochi,14000.0,Semi-Furnished,3.0,Family,1000.0,Apartment,3,Road,0.0,3.0
199,2 BHK House for Rent in Edappally Kochi,25000.0,Semi-Furnished,2.0,Bachelors,700.0,House,2,Edappally,1.0,2.0
200,3 BHK House for Rent in Vyttila Kochi,28000.0,Furnished,3.0,Bachelors/Family,,House,3,Vyttila,1.0,2.0
201,1 BHK House for Rent in Kakkanad Kochi,5000.0,Furnished,2.0,Bachelors/Family,,House,1,Kakkanad,,
202,"3 BHK Apartment for Rent in Puravankra Moonreach, Kakkanad Kochi",32000.0,Semi-Furnished,4.0,Bachelors/Family,,Apartment,3,Kakkanad,6.0,20.0
203,2 BHK House for Rent in Edappally Kochi,28000.0,Furnished,2.0,Bachelors/Family,,House,2,Edappally,,
204,2 BHK Villa for Rent in Thoppumpady Kochi,14850.0,Semi-Furnished,2.0,Bachelors/Family,1000.0,Villa,2,Thoppumpady,,
205,3 BHK House for Rent in Chalikkavattom Kochi,28000.0,Unfurnished,3.0,Bachelors,1700.0,House,3,Chalikkavattom,1.0,1.0
206,1 BHK Apartment for Rent in Mundamveli Kochi,7500.0,Semi-Furnished,1.0,Bachelors,,Apartment,1,Mundamveli,1.0,2.0
207,"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi",30000.0,Semi-Furnished,4.0,Bachelors/Family,,Villa,3,Kakkanad,,
208,2 BHK Apartment for Rent in Kochi,27000.0,Unfurnished,2.0,Bachelors/Family,1200.0,Apartment,2,in,7.0,12.0
209,"3 BHK Apartment for Rent in Olive Courtyard, Kakkanad Kochi",35000.0,Furnished,3.0,Bachelors/Family,1500.0,Apartment,3,Kakkanad,10.0,14.0
210,"3 BHK Apartment for Rent in Confident Pride, Edappally Kochi",32000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Edappally,9.0,19.0
211,1 BHK Apartment for Rent in Edappally Kochi,12000.0,Unfurnished,1.0,Bachelors/Family,,Apartment,1,Edappally,2.0,2.0
212,"4 BHK Villa for Rent in Olive Courtyard, Kakkanad Kochi",40000.0,Semi-Furnished,5.0,Family,,Villa,4,Kakkanad,,
213,Studio Apartment for Rent in Gandhinagar Kochi,5500.0,Furnished,1.0,Bachelors/Family,200.0,Apartment,S,Gandhinagar,2.0,3.0
214,"3 BHK Apartment for Rent in Puravankara Purva Eternity, Thrikkakara Kochi",35000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Thrikkakara,14.0,20.0
215,"2 BHK Apartment for Rent in ABAD Bluechip, Kakkanad Kochi",25000.0,Furnished,2.0,Family,1100.0,Apartment,2,Kakkanad,,
216,"3 BHK Apartment for Rent in Veegaland Bliss, Thrippunithura Kochi",25000.0,Semi-Furnished,2.0,Bachelors,900.0,Apartment,3,Thrippunithura,5.0,13.0
217,"2 BHK Apartment for Rent in KB Apartments, Kadavanthra Kochi",18000.0,Unfurnished,2.0,Bachelors,800.0,Apartment,2,Kadavanthra,5.0,6.0
218,2 BHK House for Rent in Maradu Kochi,25000.0,Furnished,2.0,Bachelors/Family,725.0,House,2,Maradu,0.0,1.0
219,"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",35000.0,Furnished,2.0,Bachelors/Family,1102.0,Apartment,3,Edappally,2.0,10.0
220,3 BHK Villa for Rent in Kakkanad Kochi,28000.0,Furnished,3.0,Bachelors,1800.0,Villa,3,Kakkanad,,
221,2 BHK House for Rent in Palarivattom Kochi,4000.0,Unfurnished,2.0,Bachelors/Family,1300.0,House,2,Palarivattom,2.0,1.0
222,1 BHK House for Rent in Pachalam Kochi,9000.0,Unfurnished,1.0,Bachelors/Family,,House,1,Pachalam,1.0,2.0
223,2 BHK House for Rent in Maradu Kochi,5000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Maradu,,
224,"4 BHK House for Rent in Skyline Ranch, Kannankulangara Kochi",22000.0,Semi-Furnished,4.0,Bachelors/Family,,House,4,Kannankulangara,0.0,1.0
225,2 BHK Builder Floor for Rent in Kakkanad Kochi,14000.0,Semi-Furnished,2.0,Family,,Builder Floor,2,Kakkanad,1.0,3.0
226,"4 BHK Apartment for Rent in Prestige Neptunes Courtyard, Marine Drive Kochi",70000.0,Unfurnished,6.0,Bachelors/Family,,Apartment,4,Marine Drive,15.0,16.0
227,2 BHK Builder Floor for Rent in Kakkanad Kochi,13000.0,Unfurnished,2.0,Bachelors/Family,,Builder Floor,2,Kakkanad,1.0,3.0
228,"3 BHK Apartment for Rent in Regal Valencia, Kakkanad Kochi",25000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,12.0,12.0
229,3 BHK Villa for Rent in Kakkanad Kochi,25000.0,Furnished,4.0,Bachelors/Family,,Villa,3,Kakkanad,,
230,3 BHK Builder Floor for Rent in Elamakkara Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,,Builder Floor,3,Elamakkara,2.0,3.0
231,1 BHK Apartment for Rent in Vyttila Kochi,17500.0,Furnished,1.0,Bachelors/Family,600.0,Apartment,1,Vyttila,2.0,2.0
232,2 BHK Apartment for Rent in Edappally Kochi,18000.0,Furnished,2.0,Bachelors/Family,,Apartment,2,Edappally,1.0,3.0
233,3 BHK House for Rent in Edappally Kochi,22000.0,Semi-Furnished,3.0,Bachelors/Family,,House,3,Edappally,1.0,2.0
234,2 BHK Apartment for Rent in Thrippunithura Kochi,16000.0,Furnished,2.0,Bachelors/Family,,Apartment,2,Thrippunithura,4.0,8.0
235,4 BHK Villa for Rent in Thrikkakara Kochi,25000.0,Semi-Furnished,4.0,Bachelors/Family,,Villa,4,Thrikkakara,,
236,"3 BHK House for Rent in Vinayaka Homes, Thrippunithura Kochi",15000.0,Semi-Furnished,2.0,Bachelors/Family,1450.0,House,3,Thrippunithura,,
237,1 BHK Apartment for Rent in Nedumbassery Kochi,9000.0,Furnished,1.0,Bachelors/Family,,Apartment,1,Nedumbassery,3.0,4.0
238,3 BHK Builder Floor for Rent in Vyttila Kochi,20000.0,Unfurnished,2.0,Bachelors/Family,,Builder Floor,3,Vyttila,2.0,4.0
239,1 BHK Apartment for Rent in Kakkanad Kochi,15000.0,Unfurnished,1.0,Bachelors/Family,,Apartment,1,Kakkanad,10.0,15.0
240,2 BHK Apartment for Rent in Edappally Kochi,16000.0,Furnished,2.0,Bachelors/Family,,Apartment,2,Edappally,2.0,3.0
241,3 BHK Apartment for Rent in Kakkanad Kochi,25000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,18.0,19.0
242,2 BHK Apartment for Rent in Pukattupady Kochi,8500.0,Semi-Furnished,2.0,Family,,Apartment,2,Pukattupady,14.0,16.0
243,3 BHK Villa for Rent in Aluva Kochi,14000.0,Semi-Furnished,2.0,Bachelors/Family,,Villa,3,Aluva,,
244,2 BHK House for Rent in Edappally Kochi,17000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Edappally,,
245,2 BHK House for Rent in Kakkanad Kochi,30000.0,Furnished,2.0,Bachelors/Family,,House,2,Kakkanad,,
246,2 BHK House for Rent in Kalamasery Kochi,4000.0,Semi-Furnished,1.0,Bachelors/Family,,House,2,Kalamasery,1.0,2.0
247,2 BHK House for Rent in Thrikkakara Kochi,5000.0,Unfurnished,2.0,Bachelors/Family,1000.0,House,2,Thrikkakara,1.0,1.0
248,2 BHK House for Rent in Kaloor Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Kaloor,1.0,2.0
249,2 BHK Apartment for Rent in Kakkanad Kochi,20000.0,Semi-Furnished,2.0,Family,725.0,Apartment,2,Kakkanad,2.0,2.0
250,"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",,Semi-Furnished,3.0,Bachelors/Family,1691.0,Apartment,3,Kakkanad,,
251,2 BHK Apartment for Rent in Cherai Kochi,,Unfurnished,2.0,Bachelors/Family,825.0,Apartment,2,Cherai,1.0,3.0
252,3 BHK Apartment for Rent in Angamali Kochi,,Furnished,3.0,Bachelors/Family,,Apartment,3,Angamali,6.0,12.0
253,"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",,Semi-Furnished,3.0,Bachelors/Family,1691.0,Apartment,3,Kakkanad,0.0,12.0
254,3 BHK Apartment for Rent in Kakkanad Kochi,,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,8.0,9.0
255,2 BHK House for Rent in Pachalam Kochi,,Semi-Furnished,2.0,Family,,House,2,Pachalam,1.0,3.0
256,"Apartment for Rent in Ninfa Casa, Kaloor Kochi",,,,Bachelors/Family,,Apartment,A,Kaloor,,
257,Apartment for Rent in Edachira Kochi,,,,Bachelors/Family,,Apartment,A,Edachira,,
258,"Apartment for Rent in Triarch Infopark Plots, Kakkanad Kochi",,,,Bachelors/Family,,Apartment,A,Kakkanad,,
259,3 BHK House for Rent in Fort Kochi Kochi,35000.0,Furnished,3.0,Bachelors/Family,,House,3,Fort Kochi,,
260,"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",85000.0,Semi-Furnished,5.0,Family,3200.0,Apartment,4,Marine Drive,4.0,25.0
261,4 BHK Apartment for Rent in Kakkanad Kochi,25000.0,,,Bachelors/Family,,Apartment,4,Kakkanad,,
262,"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000.0,Furnished,4.0,Bachelors/Family,,Apartment,3,Thrippunithura,13.0,40.0
263,2 BHK Service Apartment for Rent in Vyttila Kochi,30000.0,,2.0,Bachelors/Family,,Service Apartment,2,Vyttila,1.0,4.0
264,3 BHK Apartment for Rent in Elamakkara Kochi,30000.0,Semi-Furnished,3.0,Bachelors/Family,2500.0,Apartment,3,Elamakkara,2.0,2.0
265,"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi",40000.0,Semi-Furnished,3.0,Family,2100.0,Apartment,3,Kakkanad,7.0,15.0
266,3 BHK Villa for Rent in Thevakkal Kochi,27000.0,Unfurnished,3.0,Bachelors,1600.0,Villa,3,Thevakkal,,
267,"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",40000.0,Furnished,2.0,Bachelors/Family,900.0,Apartment,2,Edappally,,
268,"3 BHK Apartment for Rent in Mir Green Metropolis, Kakkanad Kochi",32000.0,Furnished,3.0,Family,1500.0,Apartment,3,Kakkanad,3.0,10.0
271,4 BHK House for Rent in Kakkanad Kochi,40000.0,Furnished,4.0,Bachelors/Family,,House,4,Kakkanad,,
272,1 BHK Apartment for Rent in Angamali Kochi,10000.0,Furnished,1.0,Bachelors,100.0,Apartment,1,Angamali,1.0,3.0
273,"2 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",20300.0,Semi-Furnished,2.0,Family,,Apartment,2,Kakkanad,2.0,12.0
274,"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",10600.0,Semi-Furnished,1.0,Bachelors/Family,,Apartment,1,Kakkanad,1.0,3.0
275,1 BHK Apartment for Rent in Infopark Kochi,15000.0,Semi-Furnished,1.0,Bachelors/Family,700.0,Apartment,1,Infopark,1.0,4.0
276,2 BHK Villa for Rent in Kakkanad Kochi,2750.0,Semi-Furnished,2.0,Bachelors/Family,1010.0,Villa,2,Kakkanad,,
277,3 BHK Villa for Rent in Fort Kochi Kochi,35000.0,Furnished,3.0,Family,,Villa,3,Fort Kochi,,
278,"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",70000.0,Furnished,4.0,Family,2207.0,Apartment,3,Marine Drive,8.0,25.0
280,"4 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",75000.0,Furnished,4.0,Bachelors/Family,,Apartment,4,Marine Drive,23.0,26.0
281,3 BHK Apartment for Rent in sfs haveli Kochi,50000.0,Semi-Furnished,4.0,Bachelors,2223.0,Apartment,3,haveli,4.0,4.0
282,3 BHK Apartment for Rent in Branded Society Kochi,25000.0,Unfurnished,3.0,Bachelors,1200.0,Apartment,3,Branded Society,8.0,14.0
283,3 BHK Apartment for Rent in Palachuvadu Kochi,25000.0,Semi-Furnished,2.0,Bachelors/Family,1210.0,Apartment,3,Palachuvadu,-1.0,14.0
284,"3 BHK Apartment for Rent in DD Highway Gate, Netoor Kochi",40000.0,Furnished,3.0,Bachelors/Family,1200.0,Apartment,3,Netoor,2.0,14.0
285,"3 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",22300.0,Semi-Furnished,3.0,Family,1450.0,Apartment,3,Kakkanad,6.0,15.0
286,1 BHK Apartment for Rent in Kakkanad Kochi,15000.0,Semi-Furnished,1.0,Bachelors/Family,750.0,Apartment,1,Kakkanad,1.0,4.0
287,1 BHK Builder Floor for Rent in Edappally Kochi,9000.0,Unfurnished,1.0,Bachelors/Family,1200.0,Builder Floor,1,Edappally,1.0,2.0
288,4 BHK House for Rent in Kundanoor Kochi,45000.0,Semi-Furnished,5.0,Family,,House,4,Kundanoor,,
289,"3 BHK Apartment for Rent in Mather Serenade , Vazhakkala Kochi",60000.0,Furnished,4.0,Bachelors/Family,2500.0,Apartment,3,Vazhakkala,1.0,10.0
290,3 BHK Apartment for Rent in Cheranalloor Kochi,55000.0,Semi-Furnished,3.0,Family,,Apartment,3,Cheranalloor,3.0,20.0
291,1 BHK Apartment for Rent in Palachuvadu Kochi,9500.0,Unfurnished,1.0,Bachelors,380.0,Apartment,1,Palachuvadu,1.0,3.0
292,"3 BHK Apartment for Rent in KG Oxford Symphony, Palarivattom Kochi",26500.0,Furnished,3.0,Family,,Apartment,3,Palarivattom,5.0,8.0
293,"1 BHK Apartment for Rent in RM Zybervale Apartments, Kakkanad Kochi",14000.0,Semi-Furnished,1.0,Bachelors/Family,550.0,Apartment,1,Kakkanad,2.0,8.0
294,"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",68000.0,Furnished,3.0,Family,1700.0,Apartment,3,Marine Drive,8.0,25.0
295,3 BHK House for Rent in Vyttila Kochi,40000.0,Furnished,4.0,Bachelors/Family,,House,3,Vyttila,,
296,"3 BHK Apartment for Rent in SFS Grandville , Edappally Kochi",38000.0,Semi-Furnished,3.0,Bachelors,1800.0,Apartment,3,Edappally,7.0,18.0
297,3 BHK Villa for Rent in Kakkanad Kochi,18000.0,Furnished,3.0,Bachelors,1080.0,Villa,3,Kakkanad,,
298,"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",100000.0,Furnished,5.0,Family,2600.0,Apartment,4,Marine Drive,7.0,28.0
299,"3 BHK Apartment for Rent in Skyline Orionpark, Edappally Kochi",35000.0,Furnished,3.0,Bachelors/Family,1400.0,Apartment,3,Edappally,11.0,13.0
300,"4 BHK Apartment for Rent in Prestige Hillside Gateway, Chittethukara Kochi",49000.0,Semi-Furnished,4.0,Family,2016.0,Apartment,4,Chittethukara,5.0,20.0
301,3 BHK Villa for Rent in Branded villa Kochi,27000.0,Semi-Furnished,3.0,Bachelors,1250.0,Villa,3,villa,,
302,"3 BHK Apartment for Rent in Skyline Spectra, Kakkanad Kochi",40000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,9.0,18.0
303,"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",85000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Marine Drive,2.0,2.0
304,2 BHK Apartment for Rent in Kadavanthra Kochi,20000.0,Furnished,2.0,Bachelors,900.0,Apartment,2,Kadavanthra,4.0,8.0
305,"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",100000.0,Furnished,4.0,Family,1900.0,Apartment,3,Marine Drive,3.0,3.0
306,3 BHK Apartment for Rent in Branded Society Kochi,45000.0,Furnished,2.0,Bachelors,950.0,Apartment,3,Branded Society,7.0,22.0
307,"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000.0,Furnished,3.0,Bachelors/Family,1900.0,Apartment,3,Thrippunithura,29.0,40.0
308,3 BHK Apartment for Rent in branded Society Kochi,40000.0,Furnished,3.0,Bachelors,1450.0,Apartment,3,Branded Society,1.0,20.0
309,3 BHK Apartment for Rent in Chittethukara Kochi,30000.0,Furnished,4.0,Family,1800.0,Apartment,3,Chittethukara,21.0,24.0
310,"4 BHK Apartment for Rent in Fern Aristocrat, Maradu Kochi",70000.0,Furnished,4.0,Bachelors,4000.0,Apartment,4,Maradu,7.0,14.0
311,"3 BHK Apartment for Rent in RDS Aura, Kadavanthra Kochi",50000.0,Furnished,3.0,Family,2000.0,Apartment,3,Kadavanthra,7.0,18.0
312,4 BHK House for Rent in Branded House Kochi,30000.0,Furnished,4.0,Bachelors,1800.0,House,4,House,,
313,"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",90000.0,Semi-Furnished,5.0,Family,,Apartment,4,Marine Drive,4.0,25.0
314,2 BHK Apartment for Rent in Padamugal Kochi,26000.0,Furnished,2.0,Bachelors,850.0,Apartment,2,Padamugal,2.0,3.0
315,"3 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",23000.0,Semi-Furnished,3.0,Bachelors,1800.0,Apartment,3,Kakkanad,11.0,21.0
316,"3 BHK Apartment for Rent in Puravankara Purva Eternity, Kakkanad Kochi",35000.0,Furnished,3.0,Bachelors,,Apartment,3,Kakkanad,10.0,20.0
317,"2 BHK Apartment for Rent in DD Highway Gate, Netoor Kochi",16000.0,Semi-Furnished,2.0,Bachelors,,Apartment,2,Netoor,7.0,14.0
318,"2 BHK Flat for Rent in Hacienda, Aluva, Kochi",27000.0,Furnished,2.0,Bachelors/Family,,Flat,2,Aluva,2.0,15.0
319,"3 BHK Flat for Rent in Mather Serenade , Vazhakkala, Kochi",60000.0,Furnished,4.0,Bachelors/Family,2500.0,Flat,3,Vazhakkala,1.0,10.0
320,"3 BHK Flat for Rent in Falcon Heights, Palarivattom, Kochi",21000.0,Semi-Furnished,3.0,Bachelors,1300.0,Flat,3,Palarivattom,3.0,9.0
321,"3 BHK Flat for Rent in Abad Casablanca , Vazhakkala, Kochi",35000.0,Furnished,3.0,Bachelors/Family,,Flat,3,Vazhakkala,1.0,11.0
322,3 BHK House for Rent in Thrikkakara Kochi,30000.0,Semi-Furnished,3.0,Bachelors,1400.0,House,3,Thrikkakara,0.0,1.0
323,"3 BHK Flat for Rent in Tricore 22, Aluva, Kochi",20000.0,Furnished,3.0,Bachelors/Family,1800.0,Flat,3,Aluva,3.0,22.0
324,2 BHK House for Rent in Aluva Kochi,12000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Aluva,0.0,1.0
325,2 BHK House for Rent in Vazhakkala Kochi,14500.0,Semi-Furnished,1.0,Bachelors/Family,,House,2,Vazhakkala,,
326,"1 BHK Flat for Rent in Aquacity, Aluva, Kochi",14500.0,Furnished,1.0,Bachelors,500.0,Flat,1,Aluva,19.0,22.0
329,3 BHK House for Rent in Palarivattom Kochi,,Furnished,3.0,Bachelors/Family,,House,3,Palarivattom,,
330,4 BHK House for Rent in Palarivattom Kochi,38000.0,Furnished,4.0,Bachelors/Family,2500.0,House,4,Palarivattom,,
331,"2 BHK Flat for Rent in Tricore 22, Aluva, Kochi",16500.0,Furnished,2.0,Bachelors/Family,700.0,Flat,2,Aluva,3.0,5.0
332,4 BHK House for Rent in Palarivattom Kochi,30000.0,Semi-Furnished,1.0,Bachelors/Family,,House,4,Palarivattom,,
333,"3 BHK Flat for Rent in SFS Grandville , Thrikkakara, Kochi",40000.0,Semi-Furnished,4.0,Bachelors/Family,1730.0,Flat,3,Thrikkakara,6.0,13.0
334,"1 BHK Flat for Rent in Alpine Suites, Aluva, Kochi",10000.0,Furnished,1.0,Bachelors,,Flat,1,Aluva,,
335,"3 BHK Flat for Rent in Aluva, Kochi",15000.0,Semi-Furnished,4.0,Bachelors/Family,1600.0,Flat,3,,7.0,14.0
336,4 BHK House for Rent in Palarivattom Kochi,45000.0,Semi-Furnished,4.0,Bachelors/Family,2500.0,House,4,Palarivattom,,
337,"1 BHK Flat for Rent in Vazhakkala, Kochi",15000.0,Furnished,1.0,Bachelors/Family,,Flat,1,,1.0,6.0
338,"2 BHK Flat for Rent in Vazhakkala, Kochi",20000.0,Furnished,2.0,Bachelors/Family,,Flat,2,,4.0,4.0
339,"3 BHK Flat for Rent in Palarivattom, Kochi",25000.0,Unfurnished,3.0,Bachelors,,Flat,3,,6.0,10.0
341,3 BHK House for Rent in Palarivattom Kochi,3000.0,Furnished,3.0,Bachelors/Family,,House,3,Palarivattom,1.0,1.0
342,"2 BHK Flat for Rent in Thrikkakara, Kochi",25000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,2,,12.0,18.0
344,2 BHK House for Rent in Palarivattom Kochi,11000.0,Unfurnished,1.0,Bachelors/Family,,House,2,Palarivattom,0.0,1.0
345,"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi",35000.0,Unfurnished,2.0,Bachelors,1254.0,Flat,2,Kadavanthra,8.0,18.0
346,"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi",31000.0,Unfurnished,2.0,Bachelors/Family,1254.0,Flat,2,Kadavanthra,8.0,18.0
347,"4 BHK Flat for Rent in Ansal City, Thrippunithura, Kochi",48000.0,Furnished,4.0,Bachelors/Family,,Flat,4,Thrippunithura,7.0,11.0
348,"3 BHK Flat for Rent in ABAD Daffodil Gardens, Thrippunithura, Kochi",35000.0,Semi-Furnished,3.0,Bachelors/Family,1540.0,Flat,3,Thrippunithura,4.0,10.0
349,3 BHK Service Apartment for Rent in Kaloor Kochi,30000.0,,3.0,Bachelors/Family,,Service Apartment,3,Kaloor,3.0,7.0
350,"3 BHK Flat for Rent in Kadavanthra, Kochi",20000.0,Semi-Furnished,3.0,Family,,Flat,3,,2.0,13.0
351,"2 BHK Flat for Rent in Kaloor, Kochi",14000.0,Unfurnished,2.0,Family,750.0,Flat,2,,0.0,2.0
352,"2 BHK Flat for Rent in Kaloor, Ernakulam",30000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,2,,3.0,12.0
353,"3 BHK Flat for Rent in Galaxy Luxor, Kadavanthra, Kochi",20000.0,Furnished,2.0,Bachelors,1000.0,Flat,3,Kadavanthra,4.0,4.0
355,3 BHK House for Rent in Vadakekotta Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,,House,3,Vadakekotta,,
356,"3 BHK Flat for Rent in RDS Aura, Kadavanthra, Kochi",50000.0,Furnished,4.0,Bachelors/Family,1750.0,Flat,3,Kadavanthra,5.0,12.0
357,1 BHK House for Rent in Kadavanthra Kochi,5000.0,Semi-Furnished,1.0,Bachelors/Family,,House,1,Kadavanthra,,
358,"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi",45000.0,Furnished,5.0,Bachelors/Family,,Villa,4,Thrippunithura,,
359,2 BHK House for Rent in Kaloor Kochi,25000.0,Furnished,2.0,Bachelors/Family,,House,2,Kaloor,0.0,2.0
360,2 BHK House for Rent in Kadavanthra Kochi,20000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Kadavanthra,,
361,"2 BHK Flat for Rent in KB Apartments, Kadavanthra, Kochi",15000.0,Semi-Furnished,2.0,Family,700.0,Apartment,2,Kadavanthra,5.0,5.0
362,4 BHK Villa for Rent in Thrippunithura Kochi,40000.0,Semi-Furnished,6.0,Bachelors/Family,,Villa,4,Thrippunithura,,
363,"1 BHK Flat for Rent in Kaloor, Kochi",3500.0,Furnished,1.0,Bachelors/Family,,Flat,1,,1.0,3.0
364,"3 BHK Flat for Rent in Kaloor, Kochi",17000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,3,,1.0,4.0
365,3 BHK House for Rent in Kaloor Kochi,45000.0,Unfurnished,4.0,Bachelors/Family,2100.0,House,3,Kaloor,0.0,2.0
367,"2 BHK Flat for Rent in Kadavanthra, Kochi",30000.0,Semi-Furnished,2.0,Bachelors/Family,1200.0,Flat,2,,2.0,14.0
368,"3 BHK Flat for Rent in Kadavanthra, Kochi",18000.0,Semi-Furnished,3.0,Bachelors/Family,,Flat,3,,5.0,19.0
369,"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi",35000.0,Semi-Furnished,4.0,Bachelors/Family,,Villa,4,Thrippunithura,,
370,"3 BHK Flat for Rent in Heera Life Style, Thrippunithura, Kochi",25000.0,Semi-Furnished,4.0,Bachelors/Family,,Flat,3,Thrippunithura,19.0,21.0
372,"3 BHK Flat for Rent in Tiknar Petals, Kadavanthra, Kochi",30000.0,Semi-Furnished,3.0,Bachelors/Family,,Flat,3,Kadavanthra,3.0,15.0
373,"3 BHK Flat for Rent in Dream Flower Velvetude, Edappally, Kochi",38000.0,Furnished,3.0,Bachelors,1202.0,Flat,3,Edappally,1.0,6.0
374,"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi",32000.0,Furnished,2.0,Bachelors/Family,,Flat,2,Edappally,7.0,9.0
375,3 BHK House for Rent in Kakkanad Kochi,45000.0,Furnished,4.0,Bachelors,1550.0,House,3,Kakkanad,2.0,2.0
376,"3 BHK Flat for Rent in DLF Riverside, Vyttila, Kochi",64000.0,Furnished,3.0,Bachelors,,Flat,3,Vyttila,9.0,12.0
377,"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi",30000.0,Furnished,3.0,Bachelors/Family,,Villa,3,Kakkanad,,
378,3 BHK House for Rent in Edappally Kochi,20000.0,Furnished,3.0,Bachelors/Family,,House,3,Edappally,,
379,"2 BHK Flat for Rent in Kakkanad, Kochi",32000.0,Furnished,2.0,Bachelors,,Flat,2,,5.0,13.0
380,"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi",48000.0,Furnished,3.0,Bachelors/Family,,Flat,3,Kakkanad,5.0,23.0
382,3 BHK Villa for Rent in Kakkanad Kochi,40000.0,Furnished,3.0,Bachelors/Family,,Villa,3,Kakkanad,,
383,2 BHK House for Rent in Vyttila Kochi,14000.0,Semi-Furnished,2.0,Bachelors/Family,650.0,House,2,Vyttila,,
384,"3 BHK Flat for Rent in Jewel Bay View, Vyttila, Kochi",25000.0,Semi-Furnished,3.0,Bachelors/Family,,Flat,3,Vyttila,4.0,10.0
385,"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi",36000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,2,Edappally,1.0,9.0
386,"1 BHK Flat for Rent in Prestige Hillside Gateway, Kakkanad, Kochi",32000.0,Furnished,1.0,Bachelors,650.0,Flat,1,Kakkanad,1.0,26.0
