title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area,House,BHK
3 BHK House for Rent in Tripunithura Kochi,25000.0,Semi-Furnished,4.0,Bachelors/Family,Ground out of 2,Immediately,,House,3
2 BHK Apartment for Rent in Karikkamuri Kochi,22000.0,Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,1000.0,Apartment,2
"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",38000.0,Semi-Furnished,2.0,Bachelors/Family,1 out of 9,Immediately,,Apartment,2
2 BHK Villa for Rent in Kochi,25000.0,Furnished,2.0,Bachelors/Family,,Immediately,,Villa,2
"3 BHK Apartment for Rent in Hoysala D'zire Apartments, Kochi",20000.0,Semi-Furnished,3.0,Bachelors/Family,1 out of 11,Immediately,,Apartment,3
3 BHK Apartment for Rent in Thevara Kochi,20000.0,Furnished,3.0,Bachelors,10 out of 14,Immediately,1400.0,Apartment,3
2 BHK House for Rent in Edappally Kochi,10000.0,Semi-Furnished,2.0,Bachelors/Family,1 out of 2,Immediately,,House,2
1 BHK Builder Floor for Rent in Marine Drive Kochi,10000.0,Unfurnished,1.0,Bachelors/Family,1 out of 1,Immediately,,Builder Floor,1
Studio Apartment for Rent in Nedumbassery Kochi,8000.0,Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,,Apartment,S
"3 BHK House for Rent in Aluva, Kochi, Choondy, Kairali Nagar Kochi",12500.0,,,Bachelors/Family,,Immediately,,House,3
3 BHK House for Rent in Vennala Kochi,20000.0,Semi-Furnished,3.0,Bachelors/Family,Ground out of 2,Immediately,,House,3
2 BHK House for Rent in Kacherippady Kochi,17000.0,Unfurnished,2.0,Bachelors/Family,1 out of 3,Immediately,,House,2
2 BHK House for Rent in Thoppumpady Kochi,17500.0,Furnished,2.0,Family,,Immediately,1000.0,House,2
2 BHK House for Rent in Thoppumpady Kochi,15000.0,Furnished,2.0,Bachelors/Family,1 out of 2,Immediately,,House,2
"3 BHK Apartment for Rent in Padamugal, Kochi Kochi",20000.0,Semi-Furnished,2.0,Bachelors/Family,3 out of 6,Immediately,,Apartment,3
3 BHK Apartment for Rent in Palarivattom Kochi,28000.0,Unfurnished,3.0,Bachelors/Family,4 out of 11,Immediately,1450.0,Apartment,3
"1 BHK Builder Floor for Rent in Raj Imperial Park, Aluva, Kochi Kochi",13000.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,,Builder Floor,1
4 BHK Villa for Rent in Kalamassery Kochi,40000.0,Unfurnished,5.0,Bachelors/Family,,Immediately,3200.0,Villa,4
"3 BHK Apartment for Rent in Galaxy Domain, Kakkanad Kochi",30000.0,,,Bachelors/Family,,Immediately,,Apartment,3
3 BHK Villa for Rent in Aluva Kochi,18000.0,Semi-Furnished,3.0,Family,,Immediately,1800.0,Villa,3
2 BHK House for Rent in Elamakkara Kochi,6500.0,Furnished,2.0,Bachelors/Family,1 out of 1,Immediately,850.0,House,2
"4 BHK Apartment for Rent in My Home Periyar Homes, Aluva Kochi",22000.0,Semi-Furnished,5.0,Bachelors,8 out of 10,Immediately,,Apartment,4
2 BHK Apartment for Rent in Asha Hermitage Tripunithura Kochi,17500.0,Semi-Furnished,2.0,Bachelors/Family,6 out of 6,Immediately,,Apartment,2
2 BHK House for Rent in pukkattupady Kochi,10000.0,Semi-Furnished,2.0,Bachelors/Family,6 out of 16,Immediately,1000.0,House,2
3 BHK House for Rent in Varapuzha Kochi,18000.0,Unfurnished,3.0,Bachelors/Family,1 out of 2,Immediately,,House,3
"3 BHK Apartment for Rent in Independent House With 2 plus Parking, Edappally Kochi",12000.0,Unfurnished,3.0,Family,1 out of 3,Immediately,1200.0,Apartment,3
1 BHK Apartment for Rent in Kakkanad Kochi,35000.0,Furnished,1.0,Bachelors/Family,3 out of 3,Immediately,750.0,Apartment,1
1 BHK House for Rent in Gandhinagar Kochi,8000.0,Unfurnished,1.0,Bachelors/Family,,Immediately,300.0,House,1
"4 BHK Apartment for Rent in Platinum Heights, Kakkanad Kochi",28500.0,Unfurnished,4.0,Bachelors,9 out of 10,Immediately,2200.0,Apartment,4
"4 BHK Villa for Rent in Nucleus Riva, Edappally Kochi",35000.0,Semi-Furnished,4.0,Bachelors,,Immediately,1800.0,Villa,4
"2 BHK Apartment for Rent in Dream Flower Ibiza, Kaloor Kochi",23000.0,Semi-Furnished,2.0,Bachelors/Family,1 out of 4,Immediately,1200.0,Apartment,2
3 BHK Apartment for Rent in Panampily Nagar Kochi,40000.0,Furnished,3.0,Bachelors/Family,4 out of 12,Immediately,,Apartment,3
2 BHK Apartment for Rent in Dream flower estella 2 Kochi,17000.0,Unfurnished,2.0,Bachelors/Family,1 out of 6,Immediately,950.0,Apartment,2
2 BHK House for Rent in Lakeshore homestay Kochi,25000.0,Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,,House,2
3 BHK Apartment for Rent in Kadavanthra Kochi,20000.0,Unfurnished,4.0,Bachelors/Family,5 out of 14,Immediately,1500.0,Apartment,3
4 BHK Villa for Rent in Kundanoor Kochi,50000.0,Furnished,4.0,Bachelors/Family,,Immediately,,Villa,4
4 BHK House for Rent in tripunithura Kochi,35000.0,Semi-Furnished,4.0,Bachelors/Family,,Immediately,,House,4
3 BHK Apartment for Rent in Tranquil Residency Kochi,25000.0,Unfurnished,4.0,Bachelors,9 out of 11,Immediately,1800.0,Apartment,3
"5 BHK Apartment for Rent in Marina One, Marine Drive Kochi",90000.0,Unfurnished,4.0,Bachelors,11 out of 27,Immediately,,Apartment,5
"3 BHK Apartment for Rent in Shwas Aquacity, Aluva Kochi",35000.0,Furnished,4.0,Bachelors/Family,,Immediately,1700.0,Apartment,3
3 BHK Builder Floor for Rent in Vazhakkala Kochi,12000.0,Semi-Furnished,3.0,Bachelors/Family,3 out of 3,Immediately,,Builder Floor,3
"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi",38000.0,Unfurnished,3.0,Bachelors,4 out of 13,Immediately,,Apartment,3
2 BHK Builder Floor for Rent in Kalamassery Kochi,14500.0,Semi-Furnished,2.0,Bachelors/Family,Ground out of 4,Immediately,,Builder Floor,2
"3 BHK Apartment for Rent in Maison Dor, Panampily Nagar Kochi",52000.0,Furnished,4.0,Bachelors/Family,13 out of 17,Immediately,2100.0,Apartment,3
"2 BHK House for Rent in Koovapadam, Kochi Kochi",10000.0,Furnished,3.0,Bachelors/Family,3 out of 3,Immediately,,House,2
2 BHK Builder Floor for Rent in Kaloor Kochi,12000.0,Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,,Builder Floor,2
3 BHK Service Apartment for Rent in Kakkanad Kochi,19500.0,,3.0,Bachelors/Family,17 out of 18,Immediately,,Service Apartment,3
1 BHK House for Rent in Elamakkara Kochi,6500.0,Semi-Furnished,1.0,Bachelors/Family,,Immediately,68.0,House,1
3 BHK Apartment for Rent in Pachalam Kochi,30000.0,Furnished,2.0,Bachelors/Family,Ground out of 2,Immediately,1200.0,Apartment,3
2 BHK Builder Floor for Rent in Kaloor Kochi,18000.0,Semi-Furnished,2.0,Bachelors/Family,3 out of 6,Immediately,,Builder Floor,2
"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi",50000.0,Furnished,3.0,Bachelors/Family,5 out of 5,Immediately,,Apartment,3
4 BHK Villa for Rent in vennala palarivatom Kochi,20000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,1800.0,Villa,4
"3 BHK Villa for Rent in Sophia Homes, Perumbavoor Kochi",15000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,1375.0,Villa,3
3 BHK Apartment for Rent in Kakkanad Kochi,30000.0,Semi-Furnished,4.0,Bachelors/Family,9 out of 20,Immediately,,Apartment,3
Studio Apartment for Rent in South Kalamassery Kochi,4500.0,Semi-Furnished,,Bachelors/Family,1 out of 2,Immediately,,Apartment,S
3 BHK Apartment for Rent in Kakkanad Kochi,26000.0,Furnished,3.0,Bachelors/Family,Ground out of 18,Immediately,,Apartment,3
2 BHK House for Rent in Angamali Kochi,20000.0,Furnished,3.0,Bachelors/Family,Ground out of 3,Immediately,,House,2
1 BHK Apartment for Rent in Kodungallur Kochi,12000.0,Furnished,1.0,Bachelors/Family,1 out of 1,Immediately,1200.0,Apartment,1
3 BHK Villa for Rent in Desom Kochi,14000.0,Furnished,3.0,Bachelors/Family,,Immediately,,Villa,3
4 BHK Villa for Rent in Elamakkara Kochi,12500000.0,Furnished,3.0,Bachelors/Family,,Immediately,,Villa,4
2 BHK House for Rent in Fort Cochin Kochi,1700000.0,Semi-Furnished,2.0,Bachelors,1 out of 1,Immediately,1200.0,House,2
3 BHK Apartment for Rent in Edappally Kochi,20000.0,Semi-Furnished,3.0,Bachelors/Family,9 out of 11,Immediately,,Apartment,3
2 BHK Apartment for Rent in Ayyappankavu Kochi,25000.0,,,Bachelors/Family,,Immediately,,Apartment,2
2 BHK House for Rent in Thrippunithura Kochi,12000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,,House,2
1 BHK Apartment for Rent in Irumpanam Kochi,9000.0,Furnished,1.0,Bachelors/Family,Ground out of 4,Immediately,,Apartment,1
1 BHK House for Rent in Vyttila Kochi,6000.0,Furnished,1.0,Bachelors/Family,,Immediately,,House,1
3 BHK House for Rent in Angamali Kochi,24000.0,Semi-Furnished,3.0,Bachelors/Family,Ground out of 2,Immediately,1800.0,House,3
1 BHK House for Rent in Edappally Kochi,8000.0,Semi-Furnished,1.0,Bachelors/Family,,Immediately,,House,1
2 BHK House for Rent in Kakkanad Kochi,16500.0,Unfurnished,2.0,Bachelors,,Immediately,1500.0,House,2
1 BHK House for Rent in PBK Myna Road Kochi,14500.0,Semi-Furnished,1.0,Bachelors/Family,,Immediately,1100.0,House,1
2 BHK Apartment for Rent in Souparnika Atrium Kochi,25000.0,Semi-Furnished,2.0,Bachelors,9 out of 10,Immediately,750.0,Apartment,2
3 BHK House for Rent in Vyttila Kochi,24000.0,Semi-Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,,House,3
3 BHK Apartment for Rent in Menaka-MARINE DRIVE Kochi,25000.0,Semi-Furnished,2.0,Bachelors/Family,3 out of 12,Immediately,1500.0,Apartment,3
1 BHK House for Rent in Chottanikkara Kochi,30000.0,Furnished,1.0,Bachelors/Family,,Immediately,650.0,House,1
3 BHK Apartment for Rent in Mahatma Gandhi Road Kochi,10000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,,Apartment,3
2 BHK Builder Floor for Rent in Fort Cochin Kochi,6500.0,Furnished,2.0,Bachelors/Family,Ground out of 3,Immediately,,Builder Floor,2
4 BHK Villa for Rent in Angamali Kochi,25000.0,Furnished,5.0,Bachelors/Family,,Immediately,,Villa,4
3 BHK House for Rent in Piravom Kochi,20000.0,Furnished,4.0,Bachelors/Family,,Immediately,,House,3
3 BHK Villa for Rent in Edappally Kochi,18000.0,Unfurnished,3.0,Bachelors/Family,,Immediately,,Villa,3
1 BHK Apartment for Rent in Jose Junction Kochi,15000.0,Semi-Furnished,1.0,Bachelors/Family,2 out of 2,Immediately,750.0,Apartment,1
2 BHK Builder Floor for Rent in Thoppumpady Kochi,10000.0,Unfurnished,2.0,Family,,Immediately,,Builder Floor,2
3 BHK House for Rent in Kakkanad Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,,Immediately,1100.0,House,3
3 BHK House for Rent in Kakkanad Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,,Immediately,,House,3
3 BHK Apartment for Rent in Panampily Nagar Kochi,40000.0,Furnished,3.0,Bachelors/Family,4 out of 11,Immediately,1600.0,Apartment,3
1 BHK Apartment for Rent in Kaloor Kochi,7500.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,550.0,Apartment,1
3 BHK House for Rent in Palluruthy Kochi,16000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,1080.0,House,3
3 BHK Apartment for Rent in Thrikkakara Kochi,25000.0,Semi-Furnished,3.0,Bachelors/Family,9 out of 11,Immediately,,Apartment,3
3 BHK House for Rent in Palarivattom Kochi,20000.0,Semi-Furnished,3.0,Bachelors,1 out of 2,Immediately,1000.0,House,3
3 BHK Apartment for Rent in Kadavanthra Kochi,25000.0,Furnished,2.0,Bachelors/Family,Ground out of 3,Immediately,,Apartment,3
3 BHK House for Rent in Thrikkakara Kochi,23000.0,Unfurnished,3.0,Bachelors,Ground out of 2,Immediately,,House,3
3 BHK House for Rent in Vyttila Kochi,40000.0,Semi-Furnished,3.0,Bachelors/Family,1 out of 1,Immediately,,House,3
4 BHK Villa for Rent in Aluva Kochi,25000.0,Semi-Furnished,5.0,Bachelors/Family,,Immediately,2800.0,Villa,4
"3 BHK Apartment for Rent in ABAD Bluechip, Kakkanad Kochi",40000.0,Unfurnished,2.0,Bachelors/Family,6 out of 17,Immediately,1525.0,Apartment,3
"3 BHK Apartment for Rent in Express Estate, Kaloor Kochi",40000.0,Furnished,3.0,Family,16 out of 17,Immediately,,Apartment,3
"2 BHK Apartment for Rent in AWHO silver sand island, Vyttila Kochi",21500.0,Semi-Furnished,2.0,Bachelors/Family,5 out of 14,Immediately,,Apartment,2
3 BHK Apartment for Rent in Palarivattom Kochi,25000.0,Unfurnished,3.0,Bachelors,6 out of 10,Immediately,,Apartment,3
1 BHK Apartment for Rent in Kakkanad Kochi,14500.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,,Apartment,1
2 BHK House for Rent in Kakkanad Kochi,3000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,1000.0,House,2
2 BHK Builder Floor for Rent in Kalamasery Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,2 out of 3,Immediately,,Builder Floor,2
Studio Apartment for Rent in Infopark Campus Kochi,7000.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,,Apartment,S
2 BHK House for Rent in Thevara Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,1 out of 2,Immediately,,House,2
3 BHK Builder Floor for Rent in Kaloor Kochi,17000.0,Semi-Furnished,2.0,Bachelors/Family,1 out of 4,Immediately,,Builder Floor,3
2 BHK House for Rent in Chalikkavattom Kochi,9000.0,Unfurnished,2.0,Bachelors/Family,Ground out of 1,Immediately,,House,2
2 BHK House for Rent in Thoppumpady Kochi,17000.0,Furnished,2.0,Family,,Immediately,1000.0,House,2
2 BHK House for Rent in Kangarappady Kochi,7250.0,Unfurnished,1.0,Bachelors,Ground out of 2,Immediately,802.0,House,2
"3 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi",39600.0,Unfurnished,3.0,Bachelors,8 out of 15,Immediately,,Apartment,3
2 BHK House for Rent in Kaloor Kochi,17500.0,Unfurnished,2.0,Family,,Immediately,,House,2
"3 BHK Apartment for Rent in Mather Apartment, Kakkanad Kochi",37000.0,Furnished,4.0,Bachelors,14 out of 23,Immediately,2050.0,Apartment,3
"2 BHK Apartment for Rent in Tulsi Nest, Edappally Kochi",28000.0,Furnished,2.0,Bachelors,3 out of 10,Immediately,900.0,Apartment,2
3 BHK Apartment for Rent in SRM Road Kochi,14000.0,Semi-Furnished,3.0,Family,Ground out of 3,Immediately,1000.0,Apartment,3
