,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
129,"2 BHK Apartment for Rent in Flairalliance Atrium, Kakkanad Kochi",15000.0,Furnished,2.0,Bachelors/Family,750.0,Apartment,2,Kakkanad,12.0,14.0
130,3 BHK Builder Floor for Rent in Edappally Kochi,20000.0,Unfurnished,3.0,Bachelors/Family,,Builder Floor,3,Edappally,1.0,5.0
131,2 BHK Apartment for Rent in Kakkanad Kochi,20000.0,Furnished,2.0,Bachelors/Family,,Apartment,2,Kakkanad,3.0,15.0
132,2 BHK House for Rent in Kakkanad Kochi,30000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Kakkanad,,
133,2 BHK House for Rent in Kakkanad Kochi,30000.0,Furnished,2.0,Bachelors/Family,,House,2,Kakkanad,,
134,3 BHK Villa for Rent in Edappally Kochi,18000.0,Unfurnished,3.0,Bachelors/Family,,Villa,3,Edappally,,
135,3 BHK Apartment for Rent in Kakkanad Kochi,25000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,18.0,19.0
136,3 BHK Apartment for Rent in Kakkanad Kochi,45000.0,Semi-Furnished,3.0,Bachelors,1200.0,Apartment,3,Kakkanad,5.0,15.0
137,3 BHK Apartment for Rent in Edappally Kochi,30000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Edappally,11.0,23.0
138,1 BHK House for Rent in Kakkanad Kochi,18000.0,Unfurnished,1.0,Bachelors/Family,,House,1,Kakkanad,,
139,3 BHK Apartment for Rent in Kakkanad Kochi,40000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,7.0,19.0
140,3 BHK House for Rent in Kakkanad Kochi,20000.0,Semi-Furnished,2.0,Bachelors/Family,,House,3,Kakkanad,1.0,2.0
141,3 BHK House for Rent in Kakkanad Kochi,30000.0,Furnished,4.0,Bachelors/Family,1800.0,House,3,Kakkanad,,
142,2 BHK Apartment for Rent in Thrikkakara Kochi,25000.0,Semi-Furnished,2.0,Bachelors/Family,,Apartment,2,Thrikkakara,12.0,18.0
143,"3 BHK Apartment for Rent in Tranquil Towers , Kakkanad Kochi",30000.0,Furnished,4.0,Bachelors/Family,,Apartment,3,Kakkanad,5.0,10.0
144,3 BHK House for Rent in Edappally Kochi,12000.0,Unfurnished,3.0,Bachelors/Family,,House,3,Edappally,,
145,1 BHK Apartment for Rent in Vyttila Kochi,,Furnished,1.0,Bachelors/Family,,Apartment,1,Vyttila,5.0,10.0
146,"2 BHK Flat for Rent in Kollamkudimugal, Kochi",15000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,2,,2.0,6.0
147,"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",75000.0,Furnished,4.0,Family,1675.0,Flat,3,Marine Drive,12.0,25.0
148,"1 BHK Flat for Rent in Infopark Campus, Kochi",15500.0,Furnished,1.0,Bachelors/Family,550.0,Flat,1,,2.0,4.0
149,3 BHK House for Rent in Kalamasery Kochi,22500.0,Furnished,2.0,Bachelors/Family,1000.0,House,3,Kalamasery,1.0,2.0
150,2 BHK Flat for Rent in Kochi,28000.0,Unfurnished,2.0,Bachelors/Family,900.0,Flat,2,in,1.0,3.0
151,"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",80000.0,Furnished,4.0,Bachelors/Family,2000.0,Flat,3,Marine Drive,24.0,25.0
152,3 BHK Flat for Rent in Kochi,55000.0,Furnished,4.0,Bachelors,2250.0,Flat,3,in,11.0,19.0
153,"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",90000.0,Furnished,4.0,Bachelors/Family,1900.0,Flat,3,Marine Drive,10.0,26.0
154,"3 BHK Flat for Rent in Puravankara Purva Grandbay, Marine Drive, Kochi",55000.0,Furnished,3.0,Family,1900.0,Flat,3,Marine Drive,6.0,15.0
155,2 BHK House for Rent in 2 BHK 2Bath at koonanamavu near to NH66 Highway Kochi,14000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Highway,1.0,1.0
156,2 BHK Flat for Rent in Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,1050.0,Flat,2,in,2.0,2.0
157,2 BHK Flat for Rent in Kochi,20000.0,Semi-Furnished,2.0,Bachelors/Family,1306.0,Flat,2,in,2.0,2.0
158,"3 BHK Flat for Rent in Skyline Zircon , Panampily Nagar, Kochi",38000.0,Furnished,3.0,Bachelors/Family,1500.0,Flat,3,Panampily Nagar,4.0,12.0
159,2 BHK House for Rent in Infopark Campus Kochi,22000.0,Furnished,2.0,Bachelors/Family,,House,2,Campus,1.0,1.0
160,2 BHK Flat for Rent in Kochi,21000.0,Semi-Furnished,2.0,Bachelors/Family,750.0,Flat,2,in,0.0,2.0
161,4 BHK Villa for Rent in Angamali Kochi,25000.0,Furnished,5.0,Bachelors/Family,,Villa,4,Angamali,,
162,"3 BHK Flat for Rent in Ambalamedu, Kochi",20000.0,Semi-Furnished,3.0,Bachelors,1000.0,Flat,3,,0.0,3.0
163,"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",90000.0,Semi-Furnished,4.0,Bachelors/Family,2000.0,Flat,3,Marine Drive,14.0,25.0
164,"3 BHK Flat for Rent in Happy Homes Siva Apartments, Thudiyur, Kochi",22000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Thudiyur,4.0,8.0
165,"3 BHK Flat for Rent in Marine Drive, Kochi",68000.0,Furnished,2.0,Bachelors/Family,,Flat,3,,2.0,15.0
166,"3 BHK Apartment for Rent in Asten Campus Court, Kakkanad Kochi",48000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,5.0,23.0
167,"3 BHK Apartment for Rent in Abad Casablanca , Vazhakkala Kochi",35000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Vazhakkala,1.0,11.0
168,3 BHK Apartment for Rent in Tiknar olina Kochi,30000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,olina,3.0,15.0
169,3 BHK Apartment for Rent in Kalamasery Kochi,40000.0,Furnished,4.0,Bachelors/Family,,Apartment,3,Kalamasery,0.0,3.0
170,3 BHK Apartment for Rent in chittor road Kochi,29000.0,Furnished,4.0,Bachelors/Family,,Apartment,3,road,7.0,11.0
171,2 BHK House for Rent in Puthencruz Kochi,12508.0,,,Bachelors/Family,,House,2,Puthencruz,,
172,2 BHK House for Rent in Koonammavu Kochi,11000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Koonammavu,1.0,1.0
173,2 BHK Apartment for Rent in Kolenchery Kochi,14000.0,Furnished,1.0,Bachelors,800.0,Apartment,2,Kolenchery,0.0,2.0
174,5 BHK House for Rent in Padamugal Kochi,35000.0,Semi-Furnished,5.0,Bachelors,1800.0,House,5,Padamugal,1.0,2.0
175,2 BHK House for Rent in Lakeshore homestay Kochi,25000.0,Furnished,2.0,Bachelors/Family,,House,2,homestay,0.0,1.0
176,3 BHK Apartment for Rent in Skyline Petta Maradu Kochi,22000.0,Furnished,2.0,Bachelors,1250.0,Apartment,3,Maradu,11.0,17.0
177,3 BHK House for Rent in Vypin Kochi,15000.0,Semi-Furnished,3.0,Bachelors/Family,,House,3,Vypin,0.0,1.0
178,"1 BHK Apartment for Rent in South Indian Bank, Elamakkara Kochi",13000.0,,,Bachelors/Family,,Apartment,1,Elamakkara,,
179,3 BHK Villa for Rent in Kaipattoor Kochi,9000.0,Unfurnished,2.0,Family,,Villa,3,Kaipattoor,,
