title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
3 BHK Apartment for Rent in Kakkanad Kochi,26000,Semi-Furnished,3,Family,1600,Apartment,3,Kakkanad,3,22
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",11600,Semi-Furnished,1,Bachelors/Family,,Apartment,1,Kakkanad,1,3
2 BHK House for Rent in Chilavannoor Kochi,14000,Semi-Furnished,2,Bachelors/Family,1100,House,2,Chilavannoor,,
"3 BHK Apartment for Rent in Heera Life Style, Thrippunithura Kochi",25000,Semi-Furnished,4,Bachelors/Family,,Apartment,3,Thrippunithura,19,21
6 BHK House for Rent in Edappally Kochi,40000,Semi-Furnished,5,Bachelors/Family,2300,House,6,Edappally,,
3 BHK House for Rent in Tripunithura Kochi,25000,Semi-Furnished,4,Bachelors/Family,,House,3,Tripunithura,0,2
2 BHK Apartment for Rent in Karikkamuri Kochi,22000,Unfurnished,2,Bachelors/Family,1000,Apartment,2,Karikkamuri,1,1
"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",38000,Semi-Furnished,2,Bachelors/Family,,Apartment,2,Edappally,1,9
2 BHK Villa for Rent in Kochi,25000,Furnished,2,Bachelors/Family,,Villa,2,in,,
"3 BHK Apartment for Rent in Hoysala D'zire Apartments, Kochi",20000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,,1,11
3 BHK Apartment for Rent in Thevara Kochi,20000,Furnished,3,Bachelors,1400,Apartment,3,Thevara,10,14
2 BHK House for Rent in Edappally Kochi,10000,Semi-Furnished,2,Bachelors/Family,,House,2,Edappally,1,2
1 BHK Builder Floor for Rent in Marine Drive Kochi,10000,Unfurnished,1,Bachelors/Family,,Builder Floor,1,Marine Drive,1,1
Studio Apartment for Rent in Nedumbassery Kochi,8000,Furnished,1,Bachelors/Family,,Apartment,S,Nedumbassery,1,3
"3 BHK House for Rent in Aluva, Kochi, Choondy, Kairali Nagar Kochi",12500,,,Bachelors/Family,,House,3,Panampily Nagar,,
3 BHK House for Rent in Vennala Kochi,20000,Semi-Furnished,3,Bachelors/Family,,House,3,Vennala,0,2
2 BHK House for Rent in Kacherippady Kochi,17000,Unfurnished,2,Bachelors/Family,,House,2,Kacherippady,1,3
2 BHK House for Rent in Thoppumpady Kochi,17500,Furnished,2,Family,1000,House,2,Thoppumpady,,
2 BHK House for Rent in Thoppumpady Kochi,15000,Furnished,2,Bachelors/Family,,House,2,Thoppumpady,1,2
"3 BHK Apartment for Rent in Padamugal, Kochi Kochi",20000,Semi-Furnished,2,Bachelors/Family,,Apartment,3,Kochi,3,6
3 BHK Apartment for Rent in Palarivattom Kochi,28000,Unfurnished,3,Bachelors/Family,1450,Apartment,3,Palarivattom,4,11
"1 BHK Builder Floor for Rent in Raj Imperial Park, Aluva, Kochi Kochi",13000,Semi-Furnished,1,Bachelors/Family,,Builder Floor,1,Kochi,1,2
4 BHK Villa for Rent in Kalamassery Kochi,40000,Unfurnished,5,Bachelors/Family,3200,Villa,4,Kalamassery,,
"3 BHK Apartment for Rent in Galaxy Domain, Kakkanad Kochi",30000,,,Bachelors/Family,,Apartment,3,Kakkanad,,
3 BHK Villa for Rent in Aluva Kochi,18000,Semi-Furnished,3,Family,1800,Villa,3,Aluva,,
2 BHK House for Rent in Elamakkara Kochi,6500,Furnished,2,Bachelors/Family,850,House,2,Elamakkara,1,1
"4 BHK Apartment for Rent in My Home Periyar Homes, Aluva Kochi",22000,Semi-Furnished,5,Bachelors,,Apartment,4,Aluva,8,10
2 BHK Apartment for Rent in Asha Hermitage Tripunithura Kochi,17500,Semi-Furnished,2,Bachelors/Family,,Apartment,2,Tripunithura,6,6
2 BHK House for Rent in pukkattupady Kochi,10000,Semi-Furnished,2,Bachelors/Family,1000,House,2,pukkattupady,6,16
3 BHK House for Rent in Varapuzha Kochi,18000,Unfurnished,3,Bachelors/Family,,House,3,Varapuzha,1,2
"3 BHK Apartment for Rent in Independent House With 2 plus Parking, Edappally Kochi",12000,Unfurnished,3,Family,1200,Apartment,3,Edappally,1,3
1 BHK Apartment for Rent in Kakkanad Kochi,35000,Furnished,1,Bachelors/Family,750,Apartment,1,Kakkanad,3,3
1 BHK House for Rent in Gandhinagar Kochi,8000,Unfurnished,1,Bachelors/Family,300,House,1,Gandhinagar,,
"4 BHK Apartment for Rent in Platinum Heights, Kakkanad Kochi",28500,Unfurnished,4,Bachelors,2200,Apartment,4,Kakkanad,9,10
"4 BHK Villa for Rent in Nucleus Riva, Edappally Kochi",35000,Semi-Furnished,4,Bachelors,1800,Villa,4,Edappally,,
"2 BHK Apartment for Rent in Dream Flower Ibiza, Kaloor Kochi",23000,Semi-Furnished,2,Bachelors/Family,1200,Apartment,2,Kaloor,1,4
3 BHK Apartment for Rent in Panampily Nagar Kochi,40000,Furnished,3,Bachelors/Family,,Apartment,3,Panampily Nagar,4,12
2 BHK Apartment for Rent in Dream flower estella 2 Kochi,17000,Unfurnished,2,Bachelors/Family,950,Apartment,2,2,1,6
2 BHK House for Rent in Lakeshore homestay Kochi,25000,Furnished,2,Bachelors/Family,,House,2,homestay,0,1
3 BHK Apartment for Rent in Kadavanthra Kochi,20000,Unfurnished,4,Bachelors/Family,1500,Apartment,3,Kadavanthra,5,14
