Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
08-Jun-18	10736.4	10779.45	10709.05	10767.65	215942528	12360.88	12.6975	0.05	10744.25	1.150464667
11-Jun-18	10781.85	10850.55	10777.05	10786.95	217849903	11384.97	13.18	0.05	10813.8	1.052818621
12-Jun-18	10816.15	10856.55	10789.4	10842.85	204419184	11989.07	12.73	0.05	10822.975	1.107742557
13-Jun-18	10887.5	10893.25	10842.65	10856.7	220003032	12982.8	12.635	0.05	10867.95	1.194595117
14-Jun-18	10832.9	10833.7	10773.55	10808.05	190031664	11659.79	12.095	0.05	10803.625	1.079247938
15-Jun-18	10808.65	10834	10755.4	10817.7	314764425	19271.43	12.07	0.05	10794.7	1.78526777
18-Jun-18	10830.2	10830.2	10787.35	10799.85	202727202	11182.48	12.38	0.05	10808.775	1.034574223
19-Jun-18	10789.45	10789.45	10701.2	10710.45	231382790	12290.16	12.92	0.05	10745.325	1.143768104
20-Jun-18	10734.65	10781.8	10724.05	10772.05	199467082	10858.35	12.1725	0.05	10752.925	1.009804309
21-Jun-18	10808.45	10809.6	10725.9	10741.1	230507383	12211.18	12.4475	0.05	10767.75	1.134051218
22-Jun-18	10742.7	10837	10710.45	10821.85	236898415	13520.01	12.0225	0.05	10773.725	1.254905801
25-Jun-18	10822.9	10831.05	10753.05	10762.45	236693278	12012.41	12.5825	0.05	10792.05	1.113079535
26-Jun-18	10742.7	10805.25	10732.55	10769.15	226846382	12113.53	12.7975	0.05	10768.9	1.124862335
27-Jun-18	10785.5	10785.5	10652.4	10671.4	253620792	13837.03	13.51	0.05	10718.95	1.290894164
28-Jun-18	10660.8	10674.2	10557.7	10589.1	363157327	20187.98	13.9475	0.05	10615.95	1.901664948
29-Jun-18	10612.85	10723.05	10612.35	10714.3	250327878	14440.17	12.9375	0.05	10667.7	1.353634804
02-Jul-18	10732.35	10736.15	10604.65	10657.3	304536687	13591.3	13.37	0.05	10670.4	1.273738567
03-Jul-18	10668.6	10713.3	10630.25	10699.9	208371545	10896.89	13	0.05	10671.775	1.021094429
04-Jul-18	10715	10777.15	10677.75	10769.9	179268271	10388.69	12.6575	0.05	10727.45	0.9684212
05-Jul-18	10786.05	10786.05	10726.25	10749.75	227267176	13676.58	12.575	0.05	10756.15	1.271512577
06-Jul-18	10744.15	10816.35	10735.05	10772.65	256547706	14006.48	12.4425	0.05	10775.7	1.299820893
09-Jul-18	10838.3	10860.35	10807.15	10852.9	189331016	10843.92	12.39	0.05	10833.75	1.000938733
10-Jul-18	10902.75	10956.9	10876.65	10947.25	203061980	12834.85	12.395	0.05	10916.775	1.175699783
11-Jul-18	10956.4	10976.65	10923	10948.3	229211999	15944.45	12.775	0.05	10949.825	1.456137427
12-Jul-18	11006.95	11078.3	10999.65	11023.2	256034815	15787.28	12.505	0.05	11038.975	1.430140027
13-Jul-18	11056.9	11071.35	10999.75	11018.9	241670818	14744.56	12.3025	0.05	11035.55	1.336096524
16-Jul-18	11018.95	11019.5	10926.25	10936.85	216971413	13709.57	12.9475	0.05	10972.875	1.249405466
17-Jul-18	10939.65	11018.5	10925.6	11008.05	217107580	12649.4	12.825	0.05	10972.05	1.152874805
18-Jul-18	11060.2	11076.2	10956.3	10980.45	232502459	13320.2	13.6825	0.05	11016.25	1.209141042
